content,true_label,pred_label
free size nhưng lại giao áo nữ l áo nam cỡ xl 2 cái áo to như cái thùng phi sao mà mình giao cho khách đặt,positive,negative
xấu tệ hàng thì giảm xuống nhưng ship tính trên trời đặt mua đầm 59k phí ship 55k mà sản phẩm k đep thôi thì ra gần nhà mua tận tay thấy tận mắt chỉ có 250k chênh lêch k bao nhiêu nhưng cảm thấy xứng đáng vô cùng,negative,positive
giặt nước lả cũng ra màu,positive,negative
form phù hợp cho nhữg bạn dág gầy,neutral,positive
phù hợp với giá tiền mk ko hiểu sao chứ lúc nào cũng đòi mua đồ đẹp mà bỏ ít tiền thì ko có đâu các bạn ạ,neutral,negative
vai cũng đc,neutral,positive
gọi gọi cả ảnh luôn à,neutral,positive
chất lượng được giống y ảnh,positive,neutral
"theo mình, nhưng ko tl ổn áp 👍 #3d2",positive,neutral
vải hơi nóng tí,negative,neutral
mỗi tội đi mua quần mới để hợp vs giày 480k,positive,negative
có điều hoa thêu trên áo không được đẹp không đậm màu như clip đăng,neutral,negative
cứ chuyển sang đèn xanh rồi quay về đèn đỏ,neutral,negative
chất lượng sản phẩm tạm được không đáng tiền,neutral,negative
dat xanh den giao den,neutral,negative
vai áo bên lớn bên nhỏ,neutral,negative
mình 1m62 nặng 49kg mình đặt sz l mới vừa dài và bụng hơi kích chứ theo số cung cấp đặt sz m sẽ bị chật và ngắn,neutral,negative
size xl mà nhỏ 53 kg đổ lại thôi,positive,neutral
dán khó và ko khít hẳn nhưng dc cái rất dính,neutral,positive
các mẹ mà có con nhỏ da nhạy cảm thì nên cân nhắc mua bỉm này nhé,negative,neutral
vận chuyển 2 cái bị bể 1 cái nói chung nhỏ gọn thích hợp bể mini,neutral,positive
sản phẩm rất đẹp rẻ hơn giá bán ở ngoài nhưng chất lượng cx rất tuyệt vời,neutral,positive
may k thẳng đường cho lắm đằng sau lên dáng k đẹp,neutral,negative
vải thì bị bung các cái đen đen ra giặt 2 lần rồi vẫn k hết,neutral,negative
nhưng áo không thể ra hình cánh dơi giống hình,positive,neutral
hình ảnh sản phẩm như nào thì nhận được y như vậy,positive,neutral
không phải lỗi hay áo,neutral,negative
nói chung hài lòng,neutral,negative
chất k mịn nhưng tạm được,negative,neutral
áo không giống hình lắm lại ngắn ai cũng bảo giống áo cũ,neutral,negative
chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được,positive,neutral
chắc do nhầm lẫn huhihi,positive,neutral
nói thì nhiều vậy thôi chứ khá ưng ý,neutral,positive
không giống trong mẫu,positive,negative
màu sắc dáng áo chất hơi nóng tay hơi ngắn,positive,neutral
lưu ý là giới thiệu dành cho những bạn dưới 55kg nhưng mình 47kg mặc thấy khá ôm người rồi nên ai trên 50kg cân nhắc nhé,negative,neutral
sp giống hình k xuất sắc như mong đợi,neutral,negative
chất lượng khá ổn với giá tiền trừ cái túi bé nhất là hơi lỗi còn 2 túi to hơn thì ổn,neutral,positive
chất đẹp nhưng màu gửi cho mình toàn màu xấu,positive,negative
quân k giống hình,neutral,negative
chân váy hơi mỏng,positive,neutral
chất lượng sản phẩm ổn so với giá tiền,neutral,positive
không giống như trong hình,neutral,negative
chất lượng sản phẩm tuyệt vời chỉ thừa nhiều,negative,positive
điểm trừ duy nhất là son có mùi của nước hoa hồng mình thì ko thích son có mùi,neutral,negative
màu áo đẹp nhg hơi ngắn,negative,positive
nhưng k sao,positive,neutral
màu da hơi tối,neutral,negative
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt rất đáng tiền thời gian giao hàng lâu,neutral,positive
vải rất mỏng thời gian giao hàng rất nhanh,neutral,positive
không giống trong hình nhưng nhìn cũng được,negative,neutral
giá mà có size rộng hơn 1 cỡ thì sẽ càng thoải mái hơn,neutral,positive
nóng nhanh và dễ dùng,neutral,positive
bị dãn phần cuối ống tay với cuối thân áo,positive,negative
đáng để mua,neutral,positive
nhưng bị lỗi ở khóa cài nhưng thôi ko đổi,positive,neutral
đẹp ko bị lỗi,negative,positive
màu xấu qá nhìn mắc chán luôn ấy,neutral,negative
mong trước khi giao hàng kiểm tra kĩ lại dùm,negative,neutral
chỉ kêu đưa mã cho tự tra,negative,neutral
balo mà con móc khóa lại thiếu 1 chân,neutral,negative
ngoài chợ bán 35k nhưng lại đẹp hơn rất nhiều của,negative,positive
giao nhầm size nhưng đã đc tư vấn đổi mới mua của lần thứ 2 mà thấy có biểu hiện nghiện,positive,negative
không như mong đợi lắm,neutral,negative
đây là tất cao cổ à,negative,neutral
bộ này hợp với bạn nào lùn lùn thôi mình lùn tịt mà vừa như in luôn như may cho mình vậy bộ như này khó kiếm bộ k phải cắt gấu quần,negative,neutral
áo rộng cỡ l cho 50 55kg nhưng chắc phải cao cao chút mặc mới đẹp,positive,neutral
áo sơ mi trên hình thì thấy tà sau dài trước ngắn có phần xẻ khá xinh nhưng nhận về hàng k giống k có xẻ trc sau 1 đường chất dày dặn nhưng dễ nhắn lắm,negative,positive
ko pit sao con e lai bi bón,neutral,negative
size hơi nhỏ nên các bạn mua sau thì lấy tăng lên 1 size nhé,positive,neutral
hàng giống dẻ rách phục vụ rất kém chất lượng sản phẩm rất kém,positive,negative
váy quá rộng cúc bị rời hết ra,neutral,negative
cho viên tẩy vào xong bồn cầu nguyễn y vân vẫn y nguyên,negative,neutral
vải cứng và mỏng,neutral,negative
giao có 1 kẹp tóc mất hạt,neutral,negative
kiểu dáng đúng mô tả tuy nhiên quá mềm không có độ cứng của khung túi nên kém sang,neutral,negative
